step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
260,0.00015539999999999998,2.6660454869270325,6.041691567163366,2.6712286472320557,1.3051456212997437,184291.69532621314,10.668304920196533
270,0.0001614,2.6118988394737244,5.870201930778884,2.620292901992798,1.1170227527618408,184205.01882350433,10.673324823379517
280,0.0001674,2.628687560558319,5.708126212267856,2.5751240253448486,1.5217746496200562,183960.84128460364,10.68749189376831
290,0.00017339999999999996,2.476370394229889,5.546538421365957,2.511723041534424,1.2183665037155151,184367.92108606553,10.663894176483154
300,0.00017939999999999997,2.4160650968551636,5.390014755140417,2.479231119155884,1.0972695350646973,183391.71913098832,10.720658540725708
310,0.00018539999999999998,2.4814172983169556,5.244584882299244,2.429612159729004,1.282357096672058,175829.2739061797,11.181755781173706
320,0.0001914,2.4263453483581543,5.103672905602189,2.384521484375,1.518026351928711,175868.19016234085,11.17928147315979
330,0.0001974,2.3888686895370483,4.9679326947989315,2.3405251502990723,1.3011391162872314,179561.51391384783,10.949339628219604
340,0.00020339999999999998,2.2466877698898315,4.8318704485534765,2.316265106201172,1.039878010749817,183832.0629313947,10.694978713989258
350,0.00020939999999999997,2.349383592605591,4.707746105756081,2.2968661785125732,1.2541404962539673,184269.09106071576,10.669613599777222
360,0.00021539999999999998,2.2861227989196777,4.586664940414261,2.2829222679138184,1.0333564281463623,182943.75903702664,10.746909379959106
370,0.0002214,2.2498655319213867,4.469824969989617,2.2056450843811035,0.9319885969161987,174258.97074891377,11.282518148422241
380,0.00022739999999999997,2.14089035987854,4.353378239484063,2.2046384811401367,1.018936276435852,176085.60597086442,11.165478229522705
390,0.00023339999999999998,2.132971405982971,4.242357897809008,2.161851167678833,1.0543365478515625,176067.0711742207,11.166653633117676
400,0.0002394,2.120629072189331,4.136271456528023,2.1109728813171387,0.9511927962303162,176028.74697696438,11.169084787368774
410,0.00024539999999999995,2.099380671977997,4.034426917300522,2.0935237407684326,1.0104857683181763,176005.9978820382,11.170528411865234
420,0.0002514,2.045944929122925,3.9350028178916414,2.0356717109680176,0.8223018646240234,176030.93766262077,11.168945789337158
430,0.00025739999999999997,2.00481116771698,3.838493235382908,2.024406909942627,0.8862441182136536,176077.8344157535,11.165971040725708
440,0.00026339999999999995,1.9535630345344543,3.7442467253404854,1.9958604574203491,0.856962263584137,176119.69311234428,11.163317203521729
450,0.0002694,2.0048115849494934,3.6572749683209356,1.9889847040176392,1.0256974697113037,176066.16521218745,11.16671109199524
460,0.00027539999999999997,1.9309912323951721,3.570960781524647,1.9300098419189453,0.8211783766746521,176142.0502194498,11.161900281906128
470,0.00028139999999999996,1.9223279356956482,3.4885291392331967,1.9243361949920654,0.79405277967453,176076.84563137603,11.166033744812012
480,0.00028739999999999994,1.9120930135250092,3.409707332947787,1.9187592267990112,0.8790069818496704,175949.2015424861,11.174134254455566
490,0.0002934,1.8967241942882538,3.3340581760148105,1.9048501253128052,0.7688762545585632,181585.80747428676,10.827277898788452
500,0.00029939999999999996,1.813564509153366,3.258033492671738,1.8653295040130615,0.7244417071342468,184080.58695152824,10.680539608001709
510,0.0002999994020828561,1.852109968662262,3.187737316471264,1.8487818241119385,0.5427671074867249,184033.72549749506,10.68325924873352
520,0.0002999973352155785,1.8176624476909637,3.1192335730322487,1.8316165208816528,0.6011557579040527,184072.02793298222,10.681036233901978
530,0.0002999937920390714,1.781545341014862,3.052349161431379,1.8114349842071533,0.6652786135673523,183768.45800946563,10.698680400848389
540,0.0002999887725920825,1.8238959312438965,2.9909264999220047,1.771672010421753,0.5385252833366394,184213.49145171317,10.672833919525146
550,0.0002999822769295036,1.7718759179115295,2.929973970821481,1.769532561302185,0.4651370048522949,182584.16276063758,10.768075227737427
560,0.0002999743051223703,1.7391938865184784,2.870434966606331,1.7579243183135986,0.4873318672180176,182788.12325480333,10.756059885025024
